0 -52.22125 -5.0 0.089798
1 -28.0371 -5.0 0.468206
2 -24.87989 -5.0 0.825195
3 -22.87267 -5.0 0.548857
4 -20.59198 -5.0 0.739657
5 12.52905 -5.0 0.225312
6 14.87943 -5.0 0.089298
7 22.05384 -5.0 0.001369
8 27.73191 -5.0 0.880039
9 34.95251 -5.0 0.167773
10 36.0947 -5.0 0.153075
11 47.43063 -5.0 0.207178
12 50.88434 -5.0 0.0106
13 65.67194 -5.0 0.062008
14 69.40816 -5.0 0.784619
15 71.00321 -5.0 0.18564
16 89.75792 -5.0 1.227203
17 96.32086 -5.0 0.499845
18 105.92662 -5.0 0.336463
19 120.27454 -5.0 0.18875
20 127.07916 -5.0 0.511468
21 138.95138 -5.0 0.902651
22 246.58296 -5.0 1.531983
23 260.3422 -5.0 5.913664
24 314.11869 -5.0 0.218109
25 319.55117 -5.0 2.936453
26 329.58191 -5.0 0.092263
27 377.61827 -5.0 2.240585
28 395.1305 -5.0 0.092977
29 423.4971 -5.0 0.64484
30 465.09253 -5.0 0.010939
31 476.48147 -5.0 0.628081
32 514.2462 -5.0 0.002667
33 552.76698 -5.0 0.09945
34 628.23677 -5.0 2.956723
35 633.2042 -5.0 0.005223
36 735.05595 -5.0 0.004804
37 811.61486 -5.0 0.1374
38 817.45854 -5.0 0.061309
39 835.66697 -5.0 0.003013
40 855.78116 -5.0 0.974678
41 960.7945 -5.0 0.016758
42 963.91181 -5.0 0.000538
43 1000.03942 -5.0 0.000614
44 1095.93347 -5.0 5.1e-05
45 1159.7407 -5.0 0.203851
46 1237.31368 -5.0 0.013118
47 1249.19239 -5.0 0.047749
48 1277.58084 -5.0 0.000133
49 1324.56362 -5.0 0.00055
50 1419.47236 -5.0 0.000889
51 1489.05021 -5.0 0.001781
52 1525.85094 -5.0 0.000828
53 1591.79667 -5.0 2.375091
54 2120.18454 -5.0 6.608981
55 2142.28747 -5.0 0.018678
56 3111.116 -5.0 5e-06
57 3111.9034 -5.0 2.7e-05
58 3125.42976 -5.0 1.4e-05
59 3127.20721 -5.0 0.001566
